"","P1","P2","YD","TP","GN","KGW"
"1","R161","R164",47.5075,13.8915,128.6555,26.8965
"2","R090","R186",42.6645,15.0865,117.389,24.0445
"3","R051","R228",43.9105,13.645,124.576,26.7285
"4","R043","R154",39.76309147,14.55098374,108.5811179,25.3659309
"5","R118","R239",37.387,18.2805,83.047,24.4485
"6","R007","R086",47.797,16.3855,109.3395,27.1625
"7","R182","R213",39.957,13.9555,112.657,26.134
"8","R009","R106",40.9295,14.2035,112.754,26.918
"9","R021","R172",51.08,14.915,141.2005,24.6845
"10","R012","R191",44.1905,14.665,123.7625,25.39
"11","R029","R173",48.391,15.3195,121.6945,26.0515
"12","R128","R185",48.1945,14.9885,131.114,23.932
"13","R062","R099",36.5815,14.496,107.4505,23.826
"14","R054","R156",48.26,16.0165,115.4685,26.334
"15","R093","R116",42.688,16.4585,114.6995,23.2335
"16","R103","R122",51.3675,15.5985,124.3055,26.4045
"17","R084","R181",52.5635,19.5345,118.9705,22.5855
"18","R089","R191",45.728,17.861,120.7075,21.141
"19","R083","R105",45.06659147,15.56098374,110.9361179,26.7124309
"20","R080","R237",42.09009147,16.19548374,111.5886179,23.5504309
"21","R087","R153",53.9015,17.306,116.757,26.3185
"22","R022","R111",37.20559147,15.71298374,98.6621179,24.0424309
"23","R027","R092",50.331,13.3755,149.325,25.337
"24","R148","R155",40.719,16.5605,109.0825,23.6695
"25","R046","R094",50.104,14.937,133.01,24.837
"26","R016","R225",46.254,16.5535,113.6245,25.0855
"27","R015","R078",46.227,13.998,127.907,26.482
"28","R057","R195",43.78,15.325,125.858,22.697
"29","R031","R169",42.6055,16.1665,109.012,24.6535
"30","R041","R145",42.194,17.024,108.246,23.294
"31","R069","R170",41.8915,15.133,104.3,27.307
"32","R064","R178",51.972,18.0165,120.275,24.7085
"33","R017","R210",47.6525,16.386,107.5645,26.7825
"34","R023","R068",31.802,16.94,82.473,23.249
"35","R008","R073",46.429,14.4965,116.214,27.668
"36","R059","R074",48.8645,16.865,105.8345,27.85
"37","R174","R203",37.4775,16.235,98.117,23.8885
"38","R013","R196",46.4315,12.4345,155.3345,24.425
"39","R189","R231",43.676,14.142,126.674,24.65
"40","R139","R152",35.2595,13.48,97.632,26.7165
"41","R097","R158",35.5635,20.55,74.781,23.8225
"42","R130","R220",46.241,14.492,132.302,24.522
"43","R171","R200",46.5925,14.12,137.146,23.977
"44","R159","R206",50.8255,15.102,137.2395,24.8595
"45","R036","R042",49.163,16.37,122.186,24.5985
"46","R010","R204",28.0845,15.4425,78.381,23.3295
"47","R161","R214",51.043,14.301,137.0545,25.962
"48","R020","R045",47.599,14.205,126.542,27.395
"49","R179","R198",45.864,14.3335,124.1595,25.8015
"50","R032","R151",35.833,15.6945,109.084,21.505
"51","R142","R236",45.0265,15.444,119.839,24.635
"52","R115","R199",41.32,12.409,124.4045,27.3845
"53","R112","R190",35.263,16.113,87.6145,25.721
"54","R076","R150",47.3665,13.783,137.7265,25.5835
"55","R075","R101",45.732,16.5255,115.721,24.487
"56","R040","R131",44.12209147,14.34748374,127.7781179,25.1694309
"57","R166","R177",41.6345,13.2605,109.7695,28.712
"58","R048","R147",46.28509147,15.78898374,121.1911179,24.8004309
"59","R120","R224",40.273,17.06,106.296,22.911
"60","R055","R135",50.45,16.004,144.5505,21.998
"61","R044","R050",42.2115,13.5395,128.3845,24.5635
"62","R066","R223",38.824,16.035,100.0395,24.535
